Order ID,Product Category,Product, Sales ,Quantity,Discount, Profit , Shipping Cost 
AU-2015-1,Auto & Accessories,Car Media Players, $140.0 ,2,0.05, $46.0 , $4.6 
AU-2015-2,Auto & Accessories,Car Speakers, $211.0 ,3,0.03, $112.0 , $11.2 
AU-2015-3,Auto & Accessories,Car Body Covers, $117.0 ,5,0.01, $31.2 , $3.1 
AU-2015-4,Auto & Accessories,Car & Bike Care, $118.0 ,2,0.05, $26.2 , $2.6 
AU-2015-5,Auto & Accessories,Tyre, $250.0 ,1,0.04, $160.0 , $16.0 
AU-2015-6,Auto & Accessories,Bike Tyres, $72.0 ,3,0.04, $24.0 , $2.4 
AU-2015-7,Auto & Accessories,Car Mat, $54.0 ,1,0.05, $54.0 , $5.4 
AU-2015-8,Auto & Accessories,Car Seat Covers, $114.0 ,5,0.02, $22.6 , $2.3 
AU-2015-9,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.03, $116.4 , $11.6 
AU-2015-10,Auto & Accessories,Car Media Players, $140.0 ,2,0.02, $54.4 , $5.4 
AU-2015-11,Auto & Accessories,Car Speakers, $211.0 ,4,0.01, $122.6 , $12.3 
AU-2015-12,Auto & Accessories,Car Body Covers, $117.0 ,4,0.04, $18.3 , $1.8 
AU-2015-13,Auto & Accessories,Car & Bike Care, $118.0 ,1,0.02, $35.6 , $3.6 
AU-2015-14,Auto & Accessories,Tyre, $250.0 ,3,0.04, $140.0 , $14.0 
AU-2015-15,Auto & Accessories,Bike Tyres, $72.0 ,4,0.01, $18.0 , $1.8 
AU-2015-16,Auto & Accessories,Car Mat, $54.0 ,2,0.01, $27.0 , $2.7 
AU-2015-17,Auto & Accessories,Car Seat Covers, $114.0 ,2,0.05, $22.6 , $2.3 
AU-2015-18,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.05, $93.3 , $9.3 
AU-2015-19,Auto & Accessories,Car Media Players, $140.0 ,2,0.05, $46.0 , $4.6 
AU-2015-20,Auto & Accessories,Car Speakers, $211.0 ,2,0.02, $122.6 , $12.3 
AU-2015-21,Auto & Accessories,Car Body Covers, $117.0 ,5,0.01, $31.2 , $3.1 
AU-2015-22,Auto & Accessories,Car & Bike Care, $118.0 ,2,0.03, $30.9 , $3.1 
AU-2015-23,Auto & Accessories,Tyre, $250.0 ,4,0.02, $150.0 , $15.0 
AU-2015-24,Auto & Accessories,Bike Tyres, $72.0 ,4,0.02, $18.0 , $1.8 
AU-2015-25,Auto & Accessories,Car Mat, $54.0 ,1,0.05, $54.0 , $5.4 
AU-2015-26,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.02, $24.9 , $2.5 
AU-2015-27,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,1,0.03, $144.1 , $14.4 
AU-2015-28,Auto & Accessories,Car Media Players, $140.0 ,1,0.03, $55.8 , $5.6 
AU-2015-29,Auto & Accessories,Car Speakers, $211.0 ,3,0.03, $112.0 , $11.2 
AU-2015-30,Auto & Accessories,Car Body Covers, $117.0 ,1,0.02, $34.7 , $3.5 
AU-2015-31,Auto & Accessories,Car & Bike Care, $118.0 ,3,0.03, $27.4 , $2.7 
AU-2015-32,Auto & Accessories,Tyre, $250.0 ,1,0.02, $165.0 , $16.5 
AU-2015-33,Auto & Accessories,Bike Tyres, $72.0 ,4,0.05, $18.0 , $1.8 
AU-2015-34,Auto & Accessories,Car Mat, $54.0 ,4,0.05, $13.5 , $1.4 
AU-2015-35,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.01, $29.4 , $2.9 
AU-2015-36,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,2,0.05, $127.9 , $12.8 
AU-2015-37,Auto & Accessories,Car Media Players, $140.0 ,5,0.04, $32.0 , $3.2 
AU-2015-38,Auto & Accessories,Car Speakers, $211.0 ,4,0.01, $122.6 , $12.3 
AU-2015-39,Auto & Accessories,Car Body Covers, $117.0 ,1,0.04, $32.3 , $3.2 
AU-2015-40,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.04, $14.4 , $1.4 
AU-2015-41,Auto & Accessories,Tyre, $250.0 ,5,0.03, $132.5 , $13.3 
AU-2015-42,Auto & Accessories,Bike Tyres, $72.0 ,5,0.02, $14.4 , $1.4 
AU-2015-43,Auto & Accessories,Car Mat, $54.0 ,5,0.01, $10.8 , $1.1 
AU-2015-44,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.04, $15.8 , $1.6 
AU-2015-45,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,4,0.04, $114.0 , $11.4 
AU-2015-46,Auto & Accessories,Car Media Players, $140.0 ,2,0.05, $46.0 , $4.6 
AU-2015-47,Auto & Accessories,Car Speakers, $211.0 ,1,0.01, $128.9 , $12.9 
AU-2015-48,Auto & Accessories,Car Body Covers, $117.0 ,4,0.05, $13.6 , $1.4 
AU-2015-49,Auto & Accessories,Car & Bike Care, $118.0 ,5,0.04, $14.4 , $1.4 
AU-2015-50,Auto & Accessories,Tyre, $250.0 ,2,0.01, $165.0 , $16.5 
AU-2015-51,Auto & Accessories,Bike Tyres, $72.0 ,2,0.01, $36.0 , $3.6 
AU-2015-52,Auto & Accessories,Car Mat, $54.0 ,5,0.03, $10.8 , $1.1 
AU-2015-53,Auto & Accessories,Car Seat Covers, $114.0 ,4,0.05, $11.2 , $1.1 
AU-2015-54,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,2,0.04, $132.5 , $13.3 
AU-2015-55,Auto & Accessories,Car Media Players, $140.0 ,2,0.03, $51.6 , $5.2 
AU-2015-56,Auto & Accessories,Car Speakers, $211.0 ,1,0.01, $128.9 , $12.9 
AU-2015-57,Auto & Accessories,Car Body Covers, $117.0 ,4,0.02, $27.6 , $2.8 
AU-2015-58,Auto & Accessories,Car & Bike Care, $118.0 ,3,0.05, $20.3 , $2.0 
AU-2015-59,Auto & Accessories,Tyre, $250.0 ,1,0.04, $160.0 , $16.0 
AU-2015-60,Auto & Accessories,Bike Tyres, $72.0 ,2,0.03, $36.0 , $3.6 
AU-2015-61,Auto & Accessories,Car Mat, $54.0 ,5,0.01, $10.8 , $1.1 
AU-2015-62,Auto & Accessories,Car Seat Covers, $114.0 ,3,0.01, $30.6 , $3.1 
AU-2015-63,Auto & Accessories,Car Pillow & Neck Rest, $231.0 ,5,0.02, $127.9 , $12.8 
AU-2015-64,Auto & Accessories,Car Media Players, $140.0 ,1,0.05, $53.0 , $5.3 
AU-2015-65,Auto & Accessories,Car Speakers, $211.0 ,2,0.05, $109.9 , $11.0 
